,Gene cluster #0,Gene cluster #1,Gene cluster #2,Gene cluster #3,Gene cluster #4,Gene cluster #5,Gene cluster #6,Gene cluster #7,Gene cluster #8,Gene cluster #9,Gene cluster #10,Gene cluster #11,Gene cluster #12,Gene cluster #13,Gene cluster #14,Gene cluster #15,Gene cluster #16,Gene cluster #17
1,0.2986451996068773,0.20947453279742242,0.16065487988183755,0.2724943525589588,0.6456662723226115,0.38311594517521647,0.20534106103049582,0.22579352880449557,0.36681208424823825,0.08275830593111783,0.3318329966385893,0.24012594002376364,0.16151911902806515,0.3865696066449379,0.28204509520911575,0.36837928031598965,0.13297623303951148,0.2384451065267093
2,0.30283035795987895,0.2237091401973304,0.16831782344287916,0.276646182705657,0.6494357622251977,0.39175054830395145,0.21399792791480857,0.22833768192720633,0.368239113179753,0.08205594088441621,0.3274669195950061,0.22554403195004358,0.1523639327749066,0.38617840785908963,0.2815776659100341,0.3670101596845005,0.12562378745769065,0.23813330152260828
4,0.3016355663688237,0.2138582915735159,0.16265010359075371,0.27470659678631176,0.6402006411690147,0.3867726342272452,0.210569717192813,0.2280103634843677,0.3647355776136611,0.08477458322071176,0.32739710434005376,0.23637230219160846,0.15879259007602164,0.38832350906880936,0.28564912154586475,0.37176769997056497,0.13095368237473015,0.23602036596906212
5,0.2983282585905409,0.20708018552696256,0.1595905334600436,0.2868779417509409,0.6547269435236066,0.3884529361219266,0.20422050186982482,0.22297519802166912,0.3517719137361262,0.08171551500465792,0.3355215167642917,0.2377710439755592,0.15876020701630794,0.3766728292422891,0.2676516588640181,0.36653638106607844,0.13194409713929317,0.2350193284110166
6,0.3034538328356736,0.20775014816720835,0.1601627541481329,0.26902459800226636,0.6320742486277291,0.38313153584382426,0.20591101186396313,0.22250044751533438,0.3665881273802682,0.07865035638305269,0.3306770745613208,0.24005198276326914,0.16093515207209486,0.3788920489852255,0.28934498776066553,0.36637731565971177,0.13421696463823532,0.23741457031404634
8,0.29512507665579224,0.21216692852692037,0.16111736080563493,0.2820616154909828,0.6519810069173012,0.3925340844682815,0.20814453465699895,0.22477971317130407,0.35935882872155284,0.08725156182307053,0.3335014883730273,0.23346082623686631,0.1560607841733282,0.37774810009109716,0.2789051838722071,0.36318532085205923,0.12915323037480778,0.23792352767129069
19,0.2975302617553666,0.2047308407569402,0.15785903492340145,0.2792386595963642,0.6536252090491013,0.38545966737784754,0.2033293669381201,0.223042312356526,0.35674686487956225,0.08461129506000696,0.33374098789938034,0.24038031789612205,0.15976211633365334,0.3758123484717319,0.2711649697896338,0.3680818728860077,0.1328392234023743,0.2365020828748629
22,0.299967691972932,0.20186888746688814,0.15817674926344433,0.2762122041552795,0.6449598364285326,0.38241206242630393,0.2023029284492413,0.22186503305668487,0.3572368085453362,0.0782608390524008,0.33355288548098294,0.24267858238430443,0.1633709074990648,0.38355546922155564,0.27911253794442525,0.36923975815784355,0.13581952407441364,0.2342893113861635
23,0.3056072899742378,0.21603253708231782,0.16203828124507885,0.27242843263589017,0.6466767093461867,0.3849860790831047,0.2094261099428663,0.22469142860887475,0.3607661210819853,0.07901488261588957,0.32434916892728693,0.22894325118720119,0.15101309431450402,0.38804263213312473,0.2569007166036945,0.3691939224427528,0.12478754060034594,0.22914127108888185
24,0.3039280978682274,0.2168740369781016,0.16414703964088664,0.27186779016019796,0.6399291477155729,0.3866727162422599,0.21134196904677457,0.22759718422888248,0.36623317734669497,0.07929977752722313,0.3256333327110623,0.23242365802070938,0.15602438659123818,0.3907417719153847,0.2802122324614812,0.37325873155631906,0.12879675780186942,0.23300689874472452
